Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Azulita,Weimaraner Mix,"(42.3726346, -71.0719746)",42.3726346,-71.0719746,East Cambridge
Azure,Chihuahua,"(42.39049505, -71.13130703)",42.39049505,-71.13130703,North Cambridge
Babette,Miniature Bull Terrier,"(42.36315621, -71.08389335)",42.36315621,-71.08389335,East Cambridge
Baby,Chihuahua Dachsund Mix,"(42.3702605, -71.09001795)",42.3702605,-71.09001795,Wellington-Harrington
Baby,Pekingese,"(42.37298494, -71.09597403)",42.37298494,-71.09597403,Wellington-Harrington
Baby,Bedlington Terr,"(42.37505864, -71.12531019)",42.37505864,-71.12531019,West Cambridge
Baby Horace,Shih Tzu Mix,"(42.37282092, -71.12692431)",42.37282092,-71.12692431,West Cambridge
Baby Renta,Shih - Tzu,"(42.38609206, -71.13499729)",42.38609206,-71.13499729,Neighborhood Nine
Bacca,Australian Cattle Dog,"(42.37922936, -71.12491628)",42.37922936,-71.12491628,Neighborhood Nine
Baci,LABRADOR Retriever,"(42.37725507, -71.14220178)",42.37725507,-71.14220178,West Cambridge
Baci,Labrador Retriever,"(42.36933758, -71.10648659)",42.36933758,-71.10648659,Mid-Cambridge
Baci,Corgi,"(42.38079494, -71.1297742)",42.38079494,-71.1297742,West Cambridge
Baeley,Pug,"(42.37134182, -71.12369351)",42.37134182,-71.12369351,West Cambridge
Bagel,French Bulldog,"(42.37066266, -71.07318786)",42.37066266,-71.07318786,East Cambridge
Bailey,Puggle,"(42.37127821, -71.07377547)",42.37127821,-71.07377547,East Cambridge
Bailey,Hound Mix,"(42.37891776, -71.15479651)",42.37891776,-71.15479651,Strawberry Hill
Bailey,Shep,"(42.38452413, -71.13518897)",42.38452413,-71.13518897,West Cambridge
Bailey,French Bulldog,"(42.37004998, -71.07748505)",42.37004998,-71.07748505,East Cambridge
Bailey,Labrador Retriever,"(42.38174353, -71.1348987)",42.38174353,-71.1348987,West Cambridge
Bailey,Labradoddle,"(42.39088823, -71.13050723)",42.39088823,-71.13050723,North Cambridge
Bailey,Golden Retriever,"(42.38313408, -71.12855282)",42.38313408,-71.12855282,Neighborhood Nine
Bailey,Hound,"(42.38562814, -71.13930216)",42.38562814,-71.13930216,Neighborhood Nine
Bailey,Spaniel Mix,"(42.39534232, -71.14765942)",42.39534232,-71.14765942,North Cambridge
Bailey,Dachshund,"(42.37310845, -71.08141594)",42.37310845,-71.08141594,East Cambridge
Bailey,Shih Tzu,"(42.37510029, -71.15406564)",42.37510029,-71.15406564,Strawberry Hill
Bailey,Terrier,"(42.35501859, -71.10752276)",42.35501859,-71.10752276,Cambridgeport
Bailey,Samoyed,"(42.37895865, -71.13311616)",42.37895865,-71.13311616,West Cambridge
Bailey,Labrador Retriever,"(42.37164298, -71.14070302)",42.37164298,-71.14070302,West Cambridge
Bailey,Boerboel,"(42.36874332, -71.10745867)",42.36874332,-71.10745867,Mid-Cambridge
Bailey,Yorksire Terrier,"(42.39813131, -71.13153221)",42.39813131,-71.13153221,North Cambridge
Bailey,Pit Bull,"(42.39300832, -71.15466387)",42.39300832,-71.15466387,Cambridge Highlands
Bailey,Lhasa Poo,"(42.39650611, -71.13372615)",42.39650611,-71.13372615,North Cambridge
Bailey,Golden Retriever,"(42.39810466, -71.13586353)",42.39810466,-71.13586353,North Cambridge
Bailey,Cocker Spaniel,"(42.37045718, -71.10881633)",42.37045718,-71.10881633,Mid-Cambridge
Bailey,Labrador Retriever,"(42.35697052, -71.10559977)",42.35697052,-71.10559977,Cambridgeport
Bailey,Chihuahua,"(42.38853098, -71.12868626)",42.38853098,-71.12868626,Neighborhood Nine
Bailey,Boston Terrier,"(42.3613308, -71.10757592)",42.3613308,-71.10757592,Cambridgeport
Bailey,Australian Cattle Dog Mix,"(42.3589906, -71.10731983)",42.3589906,-71.10731983,Cambridgeport
Bailey,Maltese,"(42.37059314, -71.07478335)",42.37059314,-71.07478335,East Cambridge
Bailey,Golden Retriever,"(42.3927397, -71.12162065)",42.3927397,-71.12162065,North Cambridge
Bailey Hogan,Hound,"(42.37098842, -71.10932297)",42.37098842,-71.10932297,Mid-Cambridge
Baldwin,Treeing Walker Coonhound,"(42.35860348, -71.10696647)",42.35860348,-71.10696647,Cambridgeport
Baloo,LABRADOODLE,"(42.367505, -71.08273605)",42.367505,-71.08273605,East Cambridge
Baloo,Labrador Retriever,"(42.40033163, -71.15149549)",42.40033163,-71.15149549,North Cambridge
Balou,Border Collie,"(42.3698759, -71.0875994)",42.3698759,-71.0875994,East Cambridge
Baltas,West Highland White Terrier,"(42.35922744, -71.10781206)",42.35922744,-71.10781206,Cambridgeport
Baltie,Goldendoodle,"(42.38541405, -71.12259434)",42.38541405,-71.12259434,Neighborhood Nine
Bama,Shih Tzu,"(42.36368539, -71.11343192)",42.36368539,-71.11343192,Riverside
Bambi,Chihuahua,"(42.36508624, -71.0936914)",42.36508624,-71.0936914,The Port
Bambu,Boston Terrier,"(42.36813467, -71.08955244)",42.36813467,-71.08955244,Wellington-Harrington
Bandit,Chihuahua,"(42.39166538, -71.14542775)",42.39166538,-71.14542775,Cambridge Highlands
Bandit,Australian Shep Mix,"(42.39972367, -71.13784002)",42.39972367,-71.13784002,North Cambridge
Bandit,Golden Retriever,"(42.35852043, -71.10933896)",42.35852043,-71.10933896,Cambridgeport
Bandit,Mountain Cur Mix,"(42.37298988, -71.08215079)",42.37298988,-71.08215079,East Cambridge
Bandit,PAPILLON,"(42.39283822, -71.12546508)",42.39283822,-71.12546508,North Cambridge
Bandit,Pit Bull,"(42.36875757, -71.08184088)",42.36875757,-71.08184088,East Cambridge
Banjo,Cockerpoo,"(42.37060415, -71.10997302)",42.37060415,-71.10997302,Mid-Cambridge
Banjo,Min Australian Shepherd,"(42.36390992, -71.10816812)",42.36390992,-71.10816812,Cambridgeport
Banjo,Miniature Australian Shepherd,"(42.36258481, -71.10760343)",42.36258481,-71.10760343,Cambridgeport
Banjo,Mini Aussie Shepherd,"(42.36442925, -71.10758626)",42.36442925,-71.10758626,Cambridgeport
Banjo,Shih Tzu,"(42.3836049, -71.13626905)",42.3836049,-71.13626905,West Cambridge
Banjo,Chihuahua Mix,"(42.39522208, -71.13019087)",42.39522208,-71.13019087,North Cambridge
Banks,Labrador Retriever,"(42.37510978, -71.1014486)",42.37510978,-71.1014486,Mid-Cambridge
Banni,Terrier,"(42.37533624, -71.15203719)",42.37533624,-71.15203719,Strawberry Hill
Barcley,Chihuahua Mix,"(42.38064231, -71.1429261)",42.38064231,-71.1429261,West Cambridge
Bard,German Shepard Mix,"(42.3864363, -71.13078483)",42.3864363,-71.13078483,Neighborhood Nine
Barfie,Maltese,"(42.37599782, -71.14868325)",42.37599782,-71.14868325,West Cambridge
Barkley,Long Hair Dachshund,"(42.3862, -71.12759189)",42.3862,-71.12759189,Neighborhood Nine
Barkley,Mix,"(42.37547038, -71.14655555)",42.37547038,-71.14655555,West Cambridge
Barkley,Airedale,"(42.37694304, -71.14422387)",42.37694304,-71.14422387,West Cambridge
Barkley,Labrador Retriever,"(42.38558217, -71.12366221)",42.38558217,-71.12366221,Neighborhood Nine
Barkley,American Bull Dog,"(42.36827073, -71.11205053)",42.36827073,-71.11205053,Riverside
Barkley,Golden Retriever,"(42.38328485, -71.11979192)",42.38328485,-71.11979192,Neighborhood Nine
Barley,Labradoodle,"(42.37701141, -71.13733984)",42.37701141,-71.13733984,West Cambridge
