ID#,Name,Breed,Transaction,,
1100481,Roxy                  ,American Staffordshire Terrier,5/3/2012,,
1100482,China                 ,Chihuahua,5/3/2012,,
1100483,Ron                    ,American Pit Bull Terrier,7/20/2010,,
1100484,Luke                   ,Australian Cattle Dog,5/7/2012,,
1100485,Huey                  ,Boxer,5/7/2012,,
1100486,Bella                   ,American Bulldog,5/7/2012,,
1100487,Mocha                ,Beagle,5/7/2012,,
1100488,Yogi                   ,Yorkshire Terrier,5/8/2012,,
1100489,Rain                   ,American Pit Bull Terrier,5/9/2012,,
1100490,Storm                 ,American Pit Bull Terrier,5/9/2012,,
1100491,Isis                     ,American Pit Bull Terrier,5/9/2012,,*
1100492,Copper               ,German Shorthaired Pointer,5/9/2012,,
1100493,Prince                ,American Staffordshire Terrier,5/9/2012,,
1100494,Marley                ,American Pit Bull Terrier,5/10/2012,,
1100495,Georgio Armni   ,American Pit Bull Terrier,5/11/2012,,
1100496,Brady                 ,Pit Bull Mix,5/14/2012,,
1100497,Tank                   ,American Staffordshire Terrier,5/14/2012,,*
1100499,Dudley               ,Pug,5/14/2012,,
1100500,Dutchess            ,Beagle,5/14/2012,,
